#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.alignID	mm10.kgXref.kgID	mm10.kgXref.mRNA	mm10.kgXref.spID	mm10.kgXref.spDisplayID	mm10.kgXref.geneSymbol	mm10.kgXref.refseq	mm10.kgXref.protAcc	mm10.kgXref.description	mm10.kgXref.tRnaName
ENSMUST00000152892.1	chr10	+	81634538	81638082	uc287tlx.1	ENSMUST00000152892.1	AK173316	D3YXX7	D3YXX7_MOUSE	Ankrd24			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3YXX7)	
ENSMUST00000123305.1	chr10	+	81640931	81642963	uc287tly.1	ENSMUST00000123305.1	AK043638	F6WJT5	F6WJT5_MOUSE	Ankrd24			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6WJT5)	
ENSMUST00000137978.1	chr10	+	81640943	81645967	uc287tlz.1	ENSMUST00000137978.1	AK019475			Ankrd24			Ankrd24 (from geneSymbol)	
ENSMUST00000132458.1	chr10	+	81643802	81647474	uc287tma.1	ENSMUST00000132458.1	AK017778	F6PZI9	F6PZI9_MOUSE	Ankrd24			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6PZI9)	
ENSMUST00000142390.1	chr10	+	81646631	81647161	uc287tmb.1	ENSMUST00000142390.1	AK017778			Ankrd24			Ankrd24 (from geneSymbol)	
ENSMUST00000053871.4	chr10	-	84526304	84534062	uc007gkq.2	ENSMUST00000053871.4	NM_175451	Q8BMK4	CKAP4_MOUSE	Ckap4	NM_175451	NM_175451	Mus musculus cytoskeleton-associated protein 4 (Ckap4), mRNA. (from RefSeq NM_175451)	
ENSMUST00000167671.1	chr10	-	84526635	84534036	uc287trd.1	ENSMUST00000167671.1	BC138318	Q8BMK4	CKAP4_MOUSE	Ckap4			High-affinity epithelial cell surface receptor for APF  (By similarity). (from UniProt Q8BMK4)	
ENSMUST00000127615.7	chr10	+	88379131	88414598	uc287twx.1	ENSMUST00000127615.7	BC060638	D3Z1C3	D3Z1C3_MOUSE	Gnptab			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3Z1C3)	
ENSMUST00000130301.7	chr10	+	88379223	88414555	uc287twy.1	ENSMUST00000130301.7	BC060638	D3YXC6	D3YXC6_MOUSE	Gnptab			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3YXC6)	
ENSMUST00000151273.7	chr10	+	88379223	88447320	uc287twz.1	ENSMUST00000151273.7	NM_001364707	D6RJ30	D6RJ30_MOUSE	Gnptab	NM_001364707	NM_001364707	Mus musculus N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits (Gnptab), transcript variant 2, mRNA. (from RefSeq NM_001364707)	
ENSMUST00000020251.9	chr10	+	88379225	88447329	uc007grl.2	ENSMUST00000020251.9	NM_001004164	Q69ZN6	GNPTA_MOUSE	Gnptab	NM_001004164	NM_001004164	Mus musculus N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits (Gnptab), transcript variant 1, mRNA. (from RefSeq NM_001004164)	
ENSMUST00000132738.1	chr10	+	88429565	88433288	uc287txb.1	ENSMUST00000132738.1	AK173132			Gnptab			Gnptab (from geneSymbol)	
ENSMUST00000141343.1	chr10	+	88433360	88440862	uc287txc.1	ENSMUST00000141343.1	L36434			Gnptab			Gnptab (from geneSymbol)	
ENSMUST00000155306.1	chr10	+	88436043	88436729	uc287txd.1	ENSMUST00000155306.1	AK154710			Gnptab			Gnptab (from geneSymbol)	
ENSMUST00000004470.8	chr10	-	88746606	88826804	uc007grx.3	ENSMUST00000004470.8	NM_175158	E9QK83	E9QK83_MOUSE	Utp20	NM_175158	NM_175158	Mus musculus UTP20 small subunit processome component (Utp20), mRNA. (from RefSeq NM_175158)	
ENSMUST00000218990.1	chr10	-	88746701	88747831	uc287tyd.1	ENSMUST00000218990.1	BC024680			Utp20			Utp20 (from geneSymbol)	
ENSMUST00000220188.1	chr10	-	88760869	88765600	uc287tye.1	ENSMUST00000220188.1	AB052760	A0A1W2P7L8		Utp20			Utp20 (from geneSymbol)	
ENSMUST00000218967.1	chr10	-	88761742	88765672	uc287tyf.1	ENSMUST00000218967.1	AB052760	A0A1W2P6J9		Utp20			Utp20 (from geneSymbol)	
ENSMUST00000219662.1	chr10	-	88776178	88782666	uc287tyg.1	ENSMUST00000219662.1	BC048955	A0A1W2P8D7		Utp20			Utp20 (from geneSymbol)	
ENSMUST00000220275.1	chr10	-	88776193	88777830	uc287tyh.1	ENSMUST00000220275.1	BC048955			Utp20			Utp20 (from geneSymbol)	
ENSMUST00000220439.1	chr10	-	88825006	88826783	uc287tyi.1	ENSMUST00000220439.1	BC084586			Utp20			Utp20 (from geneSymbol)	
ENSMUST00000183156.7	chr10	+	89873508	90970219	uc287tzo.1	ENSMUST00000183156.7	NM_001128086	S4R286		Anks1b	NM_001128086	NM_001128086	Mus musculus ankyrin repeat and sterile alpha motif domain containing 1B (Anks1b), transcript variant 1, mRNA. (from RefSeq NM_001128086)	
ENSMUST00000182936.7	chr10	+	89873537	90510629	uc287tzp.1	ENSMUST00000182936.7	AK036288	S4R1G5		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182907.7	chr10	+	89873637	90966392	uc287tzq.1	ENSMUST00000182907.7	AK049899	S4R2E7		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000099368.10	chr10	+	89873671	90683697	uc287tzr.1	ENSMUST00000099368.10	AK019361	K4DI73	K4DI73_MOUSE	Anks1b			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt K4DI73)	
ENSMUST00000183002.1	chr10	+	89996542	90033279	uc287tzs.1	ENSMUST00000183002.1				Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000183012.1	chr10	+	90046621	90071078	uc287tzt.1	ENSMUST00000183012.1				Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000183109.1	chr10	+	90071110	90079463	uc287tzu.1	ENSMUST00000183109.1	AK036288	S4R2J3		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182356.7	chr10	+	90575726	90973300	uc033fsd.3	ENSMUST00000182356.7	NM_001177397	A0A0R4J2A2		Anks1b	NM_001177397	NM_001177397	Mus musculus ankyrin repeat and sterile alpha motif domain containing 1B (Anks1b), transcript variant 4, mRNA. (from RefSeq NM_001177397)	
ENSMUST00000182427.7	chr10	+	90576251	90921313	uc287tzx.1	ENSMUST00000182427.7	AK132228	S4R235		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182053.7	chr10	+	90576376	90970258	uc287tzy.1	ENSMUST00000182053.7	AK049899	S4R2H3		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182113.7	chr10	+	90576516	90971459	uc033fsa.3	ENSMUST00000182113.7	NM_001177396	S4R2I2		Anks1b	NM_001177396	NM_001177396	Mus musculus ankyrin repeat and sterile alpha motif domain containing 1B (Anks1b), transcript variant 3, mRNA. (from RefSeq NM_001177396)	
ENSMUST00000182786.7	chr10	+	90576569	90971702	uc287tzz.1	ENSMUST00000182786.7	AK034154	S4R2N9		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182600.7	chr10	+	90576611	90970212	uc287uaa.1	ENSMUST00000182600.7	AK132228	S4R2H8		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182284.7	chr10	+	90576690	90970864	uc033fsb.3	ENSMUST00000182284.7	NM_001177398	A0A0R4J2A8		Anks1b	NM_001177398	NM_001177398	Mus musculus ankyrin repeat and sterile alpha motif domain containing 1B (Anks1b), transcript variant 5, mRNA. (from RefSeq NM_001177398)	
ENSMUST00000182430.7	chr10	+	90576717	90971664	uc033fsc.3	ENSMUST00000182430.7	NM_181398	A0A0R4J2A6		Anks1b	NM_181398	NM_181398	Mus musculus ankyrin repeat and sterile alpha motif domain containing 1B (Anks1b), transcript variant 2, mRNA. (from RefSeq NM_181398)	
ENSMUST00000182960.7	chr10	+	90576735	90971702	uc287uab.1	ENSMUST00000182960.7	AK163750	S4R1H2		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182003.1	chr10	+	90576748	90599954	uc287uac.1	ENSMUST00000182003.1	AK049899			Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182045.1	chr10	+	90576749	90587149	uc287uad.1	ENSMUST00000182045.1	AK049899	S4R2K2		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182083.1	chr10	+	90576765	90587296	uc287uae.1	ENSMUST00000182083.1	AK019361	S4R2B3		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000183136.7	chr10	+	90576800	90970979	uc287uaf.1	ENSMUST00000183136.7	AK132228	S4R2Q2		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182595.7	chr10	+	90576814	90971991	uc287uag.1	ENSMUST00000182595.7	AK034154	S4R1Q0		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182550.7	chr10	+	90576964	90970219	uc287uah.1	ENSMUST00000182550.7	AK132228	S4R2H2		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000099364.11	chr10	+	90576991	90969820	uc287uai.1	ENSMUST00000099364.11	AK132228	E9QPP6	E9QPP6_MOUSE	Anks1b			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9QPP6)	
ENSMUST00000182192.7	chr10	+	90829110	90941465	uc287uan.1	ENSMUST00000182192.7	AK032061	S4R2M2		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000183051.7	chr10	+	90829120	90897317	uc287uao.1	ENSMUST00000183051.7	AK032061			Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182202.7	chr10	+	90829427	90941438	uc287uap.1	ENSMUST00000182202.7	AK032061	S4R1W3		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182966.7	chr10	+	90829433	90970212	uc287uaq.1	ENSMUST00000182966.7	AK132228	S4R2E3		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000179694.8	chr10	+	90829565	90971457	uc287uar.1	ENSMUST00000179694.8	AK032061	A0A140T8U6		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000179337.8	chr10	+	90829780	90971284	uc007gtd.2	ENSMUST00000179337.8	AK038609	A0A140T8U6		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000182632.7	chr10	+	90829818	90914737	uc287uas.1	ENSMUST00000182632.7	AK038609			Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000183145.1	chr10	+	90829842	90921338	uc287uat.1	ENSMUST00000183145.1	AK038609			Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000099366.10	chr10	+	90895097	90971457	uc287uav.1	ENSMUST00000099366.10	AK034154	A0A140T8U6		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000183024.1	chr10	+	90895177	90970092	uc287uaw.1	ENSMUST00000183024.1	AK032061	S4R1K4		Anks1b			Anks1b (from geneSymbol)	
ENSMUST00000129421.7	chr10	+	93488767	93519304	uc007gus.3	ENSMUST00000129421.7	NM_010401	P35492	HUTH_MOUSE	Hal	NM_010401	NM_010401	Mus musculus histidine ammonia lyase (Hal), mRNA. (from RefSeq NM_010401)	
ENSMUST00000016031.13	chr10	+	93488802	93516464	uc287uen.1	ENSMUST00000016031.13	AK014518	F8WH73	F8WH73_MOUSE	Hal			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F8WH73)	
ENSMUST00000132624.1	chr10	+	93496404	93500657	uc287ueo.1	ENSMUST00000132624.1	BC057637			Hal			Hal (from geneSymbol)	
ENSMUST00000152883.1	chr10	+	93501124	93516666	uc287uep.1	ENSMUST00000152883.1	AK017397			Hal			Hal (from geneSymbol)	
ENSMUST00000147080.1	chr10	+	93640680	93644957	uc287ueu.1	ENSMUST00000147080.1	AF268066	D3Z053	D3Z053_MOUSE	Ntn4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3Z053)	
ENSMUST00000020204.4	chr10	+	93641048	93747207	uc007gux.3	ENSMUST00000020204.4	NM_021320	Q9JI33	NET4_MOUSE	Ntn4	NM_021320	NM_021320	Mus musculus netrin 4 (Ntn4), mRNA. (from RefSeq NM_021320)	
ENSMUST00000170703.3	chr10	+	93778659	93779719	uc287uew.1	ENSMUST00000170703.3	LF198201			Gm3571			Gm3571 (from geneSymbol)	
ENSMUST00000099337.4	chr10	-	94790865	94944835	uc007gvz.4	ENSMUST00000099337.4	NM_018797	Q9QZC2	PLXC1_MOUSE	Plxnc1	NM_018797	NM_018797	Mus musculus plexin C1 (Plxnc1), mRNA. (from RefSeq NM_018797)	
ENSMUST00000218839.1	chr10	-	94827221	94829546	uc287ugv.1	ENSMUST00000218839.1	AK033998			Plxnc1			Plxnc1 (from geneSymbol)	
ENSMUST00000180514.1	chr10	-	94837210	94843808	uc287ugw.1	ENSMUST00000180514.1	AF190578			Plxnc1			Plxnc1 (from geneSymbol)	
ENSMUST00000181244.1	chr10	-	94854451	94871048	uc287ugx.1	ENSMUST00000181244.1	AK084603	M0QWW0		Plxnc1			Plxnc1 (from geneSymbol)	
ENSMUST00000180573.1	chr10	-	94870829	94922657	uc287ugy.1	ENSMUST00000180573.1	AK084603			Plxnc1			Plxnc1 (from geneSymbol)	
ENSMUST00000032719.14	chr10	-	109681258	110000219	uc007gzl.2	ENSMUST00000032719.14	NM_001081035	E9QMF5	E9QMF5_MOUSE	Nav3	NM_001081035	NM_001081035	Mus musculus neuron navigator 3 (Nav3), transcript variant 1, mRNA. (from RefSeq NM_001081035)	
ENSMUST00000161582.7	chr10	-	109682659	109823585	uc287utm.1	ENSMUST00000161582.7	AK122404			Nav3			Nav3 (from geneSymbol)	
ENSMUST00000238286.1	chr10	-	109683144	109833221	uc294iqo.1	ENSMUST00000238286.1	AK122404			Nav3			Nav3 (from geneSymbol)	
ENSMUST00000161223.1	chr10	-	109714301	109723801	uc287utn.1	ENSMUST00000161223.1	AK122404			Nav3			Nav3 (from geneSymbol)	
ENSMUST00000163071.1	chr10	-	109755131	109764840	uc287uto.1	ENSMUST00000163071.1	AK122404			Nav3			Nav3 (from geneSymbol)	
ENSMUST00000161798.1	chr10	-	109880632	109904023	uc287utp.1	ENSMUST00000161798.1	AK141355			Nav3			Nav3 (from geneSymbol)	
ENSMUST00000160159.2	chr10	-	109899102	110456204	uc287utq.1	ENSMUST00000160159.2	AK141355			Nav3			Nav3 (from geneSymbol)	
ENSMUST00000173294.7	chr10	+	110745438	110748146	uc287utz.1	ENSMUST00000173294.7	AK051521			E2f7			E2f7 (from geneSymbol)	
ENSMUST00000174857.7	chr10	+	110745464	110756637	uc007gzn.1	ENSMUST00000174857.7	AK051521	Q8BQ55	Q8BQ55_MOUSE	E2f7			E2f7 (from geneSymbol)	
ENSMUST00000174810.7	chr10	+	110745467	110768139	uc287uua.1	ENSMUST00000174810.7	AK041481			E2f7			E2f7 (from geneSymbol)	
ENSMUST00000073781.11	chr10	+	110745467	110787384	uc007gzp.2	ENSMUST00000073781.11	NM_178609	Q6S7F2	E2F7_MOUSE	E2f7	NM_178609	NM_178609	Mus musculus E2F transcription factor 7 (E2f7), transcript variant 1, mRNA. (from RefSeq NM_178609)	
ENSMUST00000173471.7	chr10	+	110745512	110785510	uc011xne.2	ENSMUST00000173471.7	AK045040	Q6S7F2	E2F7_MOUSE	E2f7			Along with E2F8, inhibitor of E2F-dependent  transcription that is important for embryonic development and for  the control of the E2f1-TP53 apoptotic pathway. Directly represses  E2F1 transcription. Binds DNA independently of DP proteins through  the E2 recognition site, 5'-TTTC[CG]CGC-3'. Appears to regulate a  subset of E2F-dependent genes whose products are required for  normal cell cycle progession. (from UniProt Q6S7F2)	
ENSMUST00000173634.1	chr10	+	110745571	110754577	uc287uub.1	ENSMUST00000173634.1	AK051521	Q8BQ55	Q8BQ55_MOUSE	E2f7			E2f7 (from geneSymbol)	
ENSMUST00000172574.1	chr10	+	110754261	110756247	uc287uuc.1	ENSMUST00000172574.1	AK041481			E2f7			E2f7 (from geneSymbol)	
ENSMUST00000173948.1	chr10	+	110754331	110774652	uc287uud.1	ENSMUST00000173948.1	AK045040	G3UYD4	G3UYD4_MOUSE	E2f7			Nucleus (By similarity). (from UniProt G3UYD4)	
ENSMUST00000174593.1	chr10	+	110763855	110765754	uc287uue.1	ENSMUST00000174593.1	AK041481			E2f7			E2f7 (from geneSymbol)	
ENSMUST00000020403.6	chr10	+	110919788	110939622	uc007gzs.3	ENSMUST00000020403.6	NM_007792	P97314	CSRP2_MOUSE	Csrp2	NM_007792	NM_007792	Mus musculus cysteine and glycine-rich protein 2 (Csrp2), mRNA. (from RefSeq NM_007792)	
ENSMUST00000220409.1	chr10	+	110920189	110938939	uc287uuk.1	ENSMUST00000220409.1	AK010626	A0A1W2P845		Csrp2			Csrp2 (from geneSymbol)	
ENSMUST00000219840.1	chr10	+	110920192	110932134	uc287uul.1	ENSMUST00000219840.1	AK010626	A0A1W2P780		Csrp2			Csrp2 (from geneSymbol)	
ENSMUST00000219502.1	chr10	+	110920204	110939328	uc287uum.1	ENSMUST00000219502.1	BC012663	A0A1W2P6I3		Csrp2			Csrp2 (from geneSymbol)	
ENSMUST00000219188.1	chr10	+	110931200	110935288	uc287uun.1	ENSMUST00000219188.1	D88792	A0A1W2P7N8		Csrp2			Csrp2 (from geneSymbol)	
ENSMUST00000220054.1	chr10	+	110931627	110937863	uc287uuo.1	ENSMUST00000220054.1	D88792	A0A1W2P758		Csrp2			Csrp2 (from geneSymbol)	
ENSMUST00000220301.1	chr10	+	110934670	110939514	uc287uup.1	ENSMUST00000220301.1	BC012663			Csrp2			Csrp2 (from geneSymbol)	
ENSMUST00000218576.1	chr10	-	117750620	117792664	uc287vcb.1	ENSMUST00000218576.1	BC057591	A0A1W2P7R1		Nup107			Nup107 (from geneSymbol)	
ENSMUST00000064848.6	chr10	-	117750620	117792705	uc007hdo.2	ENSMUST00000064848.6	NM_134010	Q8BH74	NU107_MOUSE	Nup107	NM_134010	NM_134010	Mus musculus nucleoporin 107 (Nup107), mRNA. (from RefSeq NM_134010)	
ENSMUST00000167943.7	chr10	-	117750623	117792698	uc287vcc.1	ENSMUST00000167943.7	AK161665	E9Q4V9	E9Q4V9_MOUSE	Nup107			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q4V9)	
ENSMUST00000218375.1	chr10	-	117757284	117761357	uc287vcd.1	ENSMUST00000218375.1	BC004655			Nup107			Nup107 (from geneSymbol)	
ENSMUST00000220323.1	chr10	-	117777127	117792651	uc287vce.1	ENSMUST00000220323.1	AK088625			Nup107			Nup107 (from geneSymbol)	
ENSMUST00000218810.1	chr10	-	117777250	117792698	uc287vcf.1	ENSMUST00000218810.1	AK043454			Nup107			Nup107 (from geneSymbol)	
ENSMUST00000218777.1	chr10	-	117777602	117790560	uc287vcg.1	ENSMUST00000218777.1	AK043454			Nup107			Nup107 (from geneSymbol)	
ENSMUST00000220203.1	chr10	-	117780315	117782011	uc287vch.1	ENSMUST00000220203.1	AK043454			Nup107			Nup107 (from geneSymbol)	
ENSMUST00000219827.1	chr10	+	118141810	118146760	uc287vco.1	ENSMUST00000219827.1	AK011769			Mdm1			Mdm1 (from geneSymbol)	
ENSMUST00000020437.12	chr10	+	118141831	118168997	uc007hdt.3	ENSMUST00000020437.12	NM_148922	Q9D067	MDM1_MOUSE	Mdm1	NM_148922	NM_148922	Mus musculus transformed mouse 3T3 cell double minute 1 (Mdm1), transcript variant 2, mRNA. (from RefSeq NM_148922)	
ENSMUST00000163238.8	chr10	+	118141858	118168381	uc011xnr.2	ENSMUST00000163238.8	NM_001162904	B2RPU6	B2RPU6_MOUSE	Mdm1	NM_001162904	NM_001162904	Mus musculus transformed mouse 3T3 cell double minute 1 (Mdm1), transcript variant 3, mRNA. (from RefSeq NM_001162904)	
ENSMUST00000219087.1	chr10	+	118141913	118147748	uc287vcp.1	ENSMUST00000219087.1	BC137608	A0A1W2P6V6		Mdm1			Mdm1 (from geneSymbol)	
ENSMUST00000218011.1	chr10	+	118141923	118148139	uc287vcq.1	ENSMUST00000218011.1	M20824			Mdm1			Mdm1 (from geneSymbol)	
ENSMUST00000164077.8	chr10	+	118141923	118168997	uc007hdu.3	ENSMUST00000164077.8	NM_010785	E9PW14	E9PW14_MOUSE	Mdm1	NM_010785	NM_010785	Mus musculus transformed mouse 3T3 cell double minute 1 (Mdm1), transcript variant 1, mRNA. (from RefSeq NM_010785)	
ENSMUST00000169817.2	chr10	+	118141944	118168163	uc011xns.2	ENSMUST00000169817.2	NM_001162905	E9Q0B1	E9Q0B1_MOUSE	Mdm1	NM_001162905	NM_001162905	Mus musculus transformed mouse 3T3 cell double minute 1 (Mdm1), transcript variant 4, mRNA. (from RefSeq NM_001162905)	
ENSMUST00000219605.1	chr10	+	118146664	118152267	uc287vcr.1	ENSMUST00000219605.1	EU490427			Mdm1			Mdm1 (from geneSymbol)	
ENSMUST00000218400.1	chr10	+	118151994	118159549	uc287vcs.1	ENSMUST00000218400.1	EU490428			Mdm1			Mdm1 (from geneSymbol)	
ENSMUST00000217767.1	chr10	+	118157011	118158468	uc287vct.1	ENSMUST00000217767.1	EU490428			Mdm1			Mdm1 (from geneSymbol)	
ENSMUST00000064107.6	chr10	-	121263819	121311189	uc007hfm.4	ENSMUST00000064107.6	NM_029057	Q69ZT9	TBC30_MOUSE	Tbc1d30	NM_029057	NM_029057	Mus musculus TBC1 domain family, member 30 (Tbc1d30), transcript variant 1, mRNA. (from RefSeq NM_029057)	
ENSMUST00000218111.1	chr10	-	121266608	121294648	uc287vga.1	ENSMUST00000218111.1	AK015700	A0A1W2P726		Tbc1d30			Tbc1d30 (from geneSymbol)	
ENSMUST00000218688.1	chr10	-	121294604	121297035	uc287vgb.1	ENSMUST00000218688.1	AK044521			Tbc1d30			Tbc1d30 (from geneSymbol)	
ENSMUST00000219179.1	chr10	-	121302082	121351278	uc287vgc.1	ENSMUST00000219179.1	AK044521	A0A1W2P853		Tbc1d30			Tbc1d30 (from geneSymbol)	
ENSMUST00000219354.1	chr10	-	121342127	121347242	uc287vgd.1	ENSMUST00000219354.1				Tbc1d30			Tbc1d30 (from geneSymbol)	
ENSMUST00000040344.6	chr10	+	121365089	121397245	uc007hfo.1	ENSMUST00000040344.6	NM_029364	Q8BFR4	GNS_MOUSE	Gns	NM_029364	NM_029364	Mus musculus glucosamine (N-acetyl)-6-sulfatase (Gns), transcript variant 1, mRNA. (from RefSeq NM_029364)	
ENSMUST00000219847.1	chr10	+	121365107	121372250	uc287vgh.1	ENSMUST00000219847.1	AK087265			Gns			Gns (from geneSymbol)	
ENSMUST00000219249.1	chr10	+	121365108	121376735	uc287vgi.1	ENSMUST00000219249.1	AK149863	A0A1W2P6W9		Gns			Gns (from geneSymbol)	
ENSMUST00000219851.1	chr10	+	121365175	121376691	uc287vgj.1	ENSMUST00000219851.1	AK149863	A0A1W2P7K3		Gns			Gns (from geneSymbol)	
ENSMUST00000219505.1	chr10	+	121374342	121381277	uc287vgk.1	ENSMUST00000219505.1	AK149863	A0A1W2P8D3		Gns			Gns (from geneSymbol)	
ENSMUST00000220350.1	chr10	+	121377073	121380155	uc287vgl.1	ENSMUST00000220350.1	AK149863			Gns			Gns (from geneSymbol)	
ENSMUST00000219531.1	chr10	+	121377637	121382110	uc287vgm.1	ENSMUST00000219531.1	BC042584			Gns			Gns (from geneSymbol)	
ENSMUST00000219580.1	chr10	+	121379686	121383404	uc287vgn.1	ENSMUST00000219580.1	BC042584			Gns			Gns (from geneSymbol)	
ENSMUST00000217712.1	chr10	+	121380132	121383824	uc287vgo.1	ENSMUST00000217712.1	AK149863			Gns			Gns (from geneSymbol)	
ENSMUST00000219216.1	chr10	+	121383114	121397249	uc007hfr.2	ENSMUST00000219216.1	BC059047			Gns			Gns (from geneSymbol)	
ENSMUST00000026902.8	chr10	-	121410349	121476347	uc007hfs.3	ENSMUST00000026902.8	NM_138956	Q99P51	RASF3_MOUSE	Rassf3	NM_138956	NM_138956	Mus musculus Ras association (RalGDS/AF-6) domain family member 3 (Rassf3), mRNA. (from RefSeq NM_138956)	
ENSMUST00000219500.1	chr10	-	121414386	121462213	uc287vgq.1	ENSMUST00000219500.1	AF332864			Rassf3			Rassf3 (from geneSymbol)	
ENSMUST00000211781.1	chr10	-	125219269	125328963	uc007hgz.2	ENSMUST00000211781.1	AK085398	Q149G3	Q149G3_MOUSE	Slc16a7			Slc16a7 (from geneSymbol)	
ENSMUST00000063318.9	chr10	-	125227484	125328535	uc007hgy.1	ENSMUST00000063318.9	NM_011391	Q149G3	Q149G3_MOUSE	Slc16a7	NM_011391	NM_011391	Mus musculus solute carrier family 16 (monocarboxylic acid transporters), member 7 (Slc16a7), transcript variant 1, mRNA. (from RefSeq NM_011391)	
ENSMUST00000210780.1	chr10	-	125227484	125389465	uc287vjp.1	ENSMUST00000210780.1	AF058054	Q149G3	Q149G3_MOUSE	Slc16a7			Slc16a7 (from geneSymbol)	
ENSMUST00000105257.3	chr10	-	125227486	125308816	uc007hgx.2	ENSMUST00000105257.3	AK076612	Q149G3	Q149G3_MOUSE	Slc16a7			Slc16a7 (from geneSymbol)	
ENSMUST00000210069.1	chr10	-	125294649	125342179	uc287vjq.1	ENSMUST00000210069.1	BC117803	A0A1B0GSA7		Slc16a7			Slc16a7 (from geneSymbol)	
ENSMUST00000209246.1	chr10	-	125339197	125389368	uc287vjr.1	ENSMUST00000209246.1				Slc16a7			Slc16a7 (from geneSymbol)	
ENSMUST00000006911.11	chr10	+	127063533	127067920	uc007hhv.4	ENSMUST00000006911.11	NM_009870	Q545C3	Q545C3_MOUSE	Cdk4	NM_009870	NM_009870	Mus musculus cyclin-dependent kinase 4 (Cdk4), transcript variant 1, mRNA. (from RefSeq NM_009870)	
ENSMUST00000120226.7	chr10	+	127063602	127067002	uc287vkz.1	ENSMUST00000120226.7	BC046336	D3YWB0	D3YWB0_MOUSE	Cdk4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3YWB0)	
ENSMUST00000133115.7	chr10	+	127063603	127066177	uc287vla.1	ENSMUST00000133115.7	BC046336	E9Q9E4	E9Q9E4_MOUSE	Cdk4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q9E4)	
ENSMUST00000142558.7	chr10	+	127063608	127067002	uc287vlb.1	ENSMUST00000142558.7	BC052694	D6RHS5	D6RHS5_MOUSE	Cdk4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RHS5)	
ENSMUST00000140254.7	chr10	+	127063613	127067297	uc287vlc.1	ENSMUST00000140254.7	BC031599			Cdk4			Cdk4 (from geneSymbol)	
ENSMUST00000135179.7	chr10	+	127063615	127065280	uc287vld.1	ENSMUST00000135179.7	BC031599			Cdk4			Cdk4 (from geneSymbol)	
ENSMUST00000125682.1	chr10	+	127063867	127066231	uc287vle.1	ENSMUST00000125682.1	AK078440	E9PZX7	E9PZX7_MOUSE	Cdk4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9PZX7)	
ENSMUST00000123456.1	chr10	+	127064297	127065315	uc287vlf.1	ENSMUST00000123456.1	AK006918			Cdk4			Cdk4 (from geneSymbol)	
ENSMUST00000145670.1	chr10	+	127066075	127067235	uc287vlg.1	ENSMUST00000145670.1	AK078440			Cdk4			Cdk4 (from geneSymbol)	
